Indicator	Race	Year	Value
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	195.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	135.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	159.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	199.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	137.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	160.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	196.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	147
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	165.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	208.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	202.7
Infant Mortality Rate (Per 1,000 live births)	White	2012	4.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	216
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	128.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	133.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	132
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	578.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	692
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	847.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	710.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	587.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	876.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	310.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	292.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	882
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	898.3
Infant Mortality Rate (Per 1,000 live births)	White	2013	4.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	292.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	170.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	579.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	594.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	19.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	17.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	22.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	17.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	22.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	16.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	14
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	20.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	36.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	35.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	32.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	29.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	7.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	7.4
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	60.9
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	90.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	36.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	62.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	96.4
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	43.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	68.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	84.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	62.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2013	77.2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2012	80.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2011	280.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	50.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2013	166.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2012	251.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	62
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2013	55.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2012	64.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	27.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	29.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	26.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	35.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	37.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	40.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	18.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	20.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	21.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	161.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	131.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	202.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	151.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	118.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	196.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	157.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	124.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	201.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	201.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	203.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	208.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	130.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	116.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	121.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	15.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	5.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	10.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	4.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	11.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	8.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	13.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	6.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	19.4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	22.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	17.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	2.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	1.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	2.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	8.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	15.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	10.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	17.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	9.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	15.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2011	17.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2012	21
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2013	18
Infant Mortality Rate (Per 1,000 live births)	All	2012	5.5
Infant Mortality Rate (Per 1,000 live births)	All	2011	7.3
Infant Mortality Rate (Per 1,000 live births)	All	2013	7
Infant Mortality Rate (Per 1,000 live births)	Asian/PI	2011	6.5
Infant Mortality Rate (Per 1,000 live births)	Black	2012	7.5
Infant Mortality Rate (Per 1,000 live births)	Black	2011	9.9
Infant Mortality Rate (Per 1,000 live births)	Black	2013	10.5
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2012	3.9
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	3.2
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2013	4.4
Infant Mortality Rate (Per 1,000 live births)	White	2011	4.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	29.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	38.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	52.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	27.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	37.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	45.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	30.8
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	36.9
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	52.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	44.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	46.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	30.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	29.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	32
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	6.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	10.2
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	7.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	10.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	6.8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	11.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	8.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	10.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	11.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	4.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	4.6
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2011	65.8
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2011	65.6
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2011	66.3
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2012	70
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2013	73.6
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	Black	2011	72.4
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	White	2011	69.8
