Indicator	Race	Year	Value
Infant Mortality Rate (Per 1,000 live births)	Black	2013	12.5
Tuberculosis Incidence Rate (Per 100,000 people)	All	2012	3.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	57.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	41.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	76.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	58.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	40.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	79
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	72.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	46.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	101.7
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	14.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2010	78.5
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	78.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	101.1
Infant Mortality Rate (Per 1,000 live births)	All	2013	10.3
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2010	44.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	67.9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	28.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2010	15.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	15.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	18.5
HIV Diagnoses Rate (Per 100,000 people)	All	2010	77.6
HIV Diagnoses Rate (Per 100,000 people)	All	2010	44.9
Infant Mortality Rate (Per 1,000 live births)	Black	2011	14.6
HIV Diagnoses Rate (Per 100,000 people)	All	2010	115.2
HIV Diagnoses Rate (Per 100,000 people)	All	2011	81.4
HIV Diagnoses Rate (Per 100,000 people)	All	2011	39.4
HIV Diagnoses Rate (Per 100,000 people)	All	2011	129.8
HIV Diagnoses Rate (Per 100,000 people)	All	2012	89.9
HIV Diagnoses Rate (Per 100,000 people)	All	2012	48.7
HIV Diagnoses Rate (Per 100,000 people)	All	2012	137.6
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	14.4
HIV Diagnoses Rate (Per 100,000 people)	Black	2010	108.3
Infant Mortality Rate (Per 1,000 live births)	Black	2012	12.7
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	107.4
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	125.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2010	59.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2011	72.8
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	71.3
HIV Diagnoses Rate (Per 100,000 people)	White	2010	19
HIV Diagnoses Rate (Per 100,000 people)	White	2011	31.8
HIV Diagnoses Rate (Per 100,000 people)	White	2012	25.6
Infant Mortality Rate (Per 1,000 live births)	All	2012	9.7
Infant Mortality Rate (Per 1,000 live births)	All	2011	10.5
