Indicator	Race	Year	Value
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	226.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	181.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	150.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	171.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	138.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	223.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	186.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	159.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	228.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	146.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	118.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	131.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	220.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	208.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	209.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	114.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	117.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	132.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	61.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	43.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	73.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	188.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	180.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	200
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	824.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	586.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	691
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	831.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	546.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	668.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	385.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	414.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	776.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	753.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	504
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	432.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	750.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	737.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	25.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	15.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	19.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	22.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	16.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	17.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	9.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	12.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	39.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	32.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	21.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	14.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	18.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	12.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	16.3
