Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	35.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	21.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	19.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	35.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	33.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	6.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	8.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	21.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	33.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	9.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	38.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	38.5
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	15.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	13.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	14.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	8.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	10.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	10.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	226.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	162
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	187.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	223.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	162.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	186.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	225.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	154.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	182.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	223.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	168
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	189.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	145.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	101.5
