Indicator	Race	Year	Value
Life Expectancy at Birth (Years)	All	2010	70.4
Life Expectancy at Birth (Years)	All	2010	76.7
Life Expectancy at Birth (Years)	All	2010	73.6
Life Expectancy at Birth (Years)	Asian/PI	2010	88.4
Life Expectancy at Birth (Years)	Black	2010	72.8
Life Expectancy at Birth (Years)	Hispanic	2010	82.5
Life Expectancy at Birth (Years)	White	2010	73.4
Percent of Low Birth Weight Babies Born	Hispanic	2010	10.4
Percent of Low Birth Weight Babies Born	Hispanic	2013	12.3
Infant Mortality Rate (Per 1,000 live births)	Other	2010	3.2
Infant Mortality Rate (Per 1,000 live births)	White	2011	9.2
Infant Mortality Rate (Per 1,000 live births)	White	2012	11.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1095.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1007.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1049.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1097.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1078.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1087.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	1063.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	995
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	1027.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	1010.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	1055.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	1005.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	1334.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	1382.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	1282.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	44.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	33.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	38.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	38.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	37.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	37.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	29.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	37.8
