Indicator	Race	Year	Value
HIV Diagnoses Rate (Per 100,000 people)	All	2013	32.4
HIV Diagnoses Rate (Per 100,000 people)	All	2011	37.3
HIV Diagnoses Rate (Per 100,000 people)	All	2013	53.9
HIV Diagnoses Rate (Per 100,000 people)	All	2013	11.4
HIV Diagnoses Rate (Per 100,000 people)	All	2012	54.6
HIV Diagnoses Rate (Per 100,000 people)	All	2012	11.8
HIV Diagnoses Rate (Per 100,000 people)	All	2012	32.9
HIV Diagnoses Rate (Per 100,000 people)	All	2011	60.9
HIV Diagnoses Rate (Per 100,000 people)	All	2011	14.2
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	80.3
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	72.5
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	71.4
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2011	24
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	21
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	21.4
HIV Diagnoses Rate (Per 100,000 people)	Other	2011	23.5
HIV Diagnoses Rate (Per 100,000 people)	Other	2013	6.8
HIV Diagnoses Rate (Per 100,000 people)	Other	2012	6.8
HIV Diagnoses Rate (Per 100,000 people)	White	2013	21.1
HIV Diagnoses Rate (Per 100,000 people)	White	2012	23.4
HIV Diagnoses Rate (Per 100,000 people)	White	2011	26.2
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2013	1061.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2013	248.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2013	650.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2012	1023.6
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2012	235.2
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2012	625
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2011	919.8
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2011	221.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2011	566.8
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Black	2013	1221.3
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Black	2012	1156.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Black	2011	1037.9
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Hispanic	2013	375.6
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Hispanic	2012	354.7
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Hispanic	2011	306.2
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Other	2013	109.6
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Other	2012	107.6
Persons Living with HIV/AIDS Rate (Per 100,000 people)	Other	2011	207
Persons Living with HIV/AIDS Rate (Per 100,000 people)	White	2013	620.8
Persons Living with HIV/AIDS Rate (Per 100,000 people)	White	2012	622.6
Persons Living with HIV/AIDS Rate (Per 100,000 people)	White	2011	617.7
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	All	2014	10.8
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	All	2014	8
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	All	2014	13.4
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	All	2013	9.6
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	All	2013	9.3
Tuberculosis Incidence Rate (Per 100,000 people)	Hispanic	2011	7.5
