Indicator	Race	Year	Value
Percent of Low Birth Weight Babies Born	Black	2013	17.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	18.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	2.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	10.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	19
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	1.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	15.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	10.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	27
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	4.9
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	4.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	20.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	17.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	27.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	8.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	9.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	16.2
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2014	23.7
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2012	23.7
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2012	56.7
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	12.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	9.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	10.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	215.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	151.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	177.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	220.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	148
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	177.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	219.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	141.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	174.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	77
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	146.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	179
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	248.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	247.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	214.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	177.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	196.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	160.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	453.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	184.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2011	222.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	51.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	129.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	174.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	166.4
