Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	8.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	16.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	5.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	10.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	23.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	4.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	13.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	13.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	3.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	10.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	11.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	15.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	2.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	2.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	4.1
AIDS Diagnoses Rate (Per 100,000 people)	Other	2014	4.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	1.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	5.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	7.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	266.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	252.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	182.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	210.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	264.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	187.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	178.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	213.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	217.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	222.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	219.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	217.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	90.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	136.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	118.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	157.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	181.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	175
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	1292.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	821
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	1025.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1291.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	829.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1032.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	300.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	1040.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	1047.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	567.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	697.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	896.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	903.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	36.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	28.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	32
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	28.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	33.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	28.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	19.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	28.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	4.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	5.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	3.9
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	3.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	6.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	1.8
