Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	3.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	4.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	2.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	5
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	2.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	8.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	216.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	145.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	174.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	217.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	141.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	172.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	218.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	141.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	172.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	210.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	202.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	207.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	138.3
Percent of Low Birth Weight Babies Born	Hispanic	2011	6.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	138.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	106.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	102
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	124.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	103.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	178.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	176.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	180.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	970.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	707.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	820.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	912.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	673.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	779.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	1023.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	954.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	663.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	585.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	616.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	540.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	831
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	793.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	26.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	25.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	19.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	25.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	14.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	16.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	20.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	46.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	35.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	41.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	34.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	26.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	28.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	19.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	16.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	17.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	21.5
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	19.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	41.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	35.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	22.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	20.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	21
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	20.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	18.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	10
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	16.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	10.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	19.1
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	3.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	10.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	12.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	12
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	14.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	4.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	4.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	6.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	10.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	11.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	10.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	230.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	142.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	178.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	214.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	144.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	175
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	218
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	154.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	182.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	240.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	226.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	219.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	130.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	118.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	134.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	125.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	114.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	117.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	179.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	178.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	186.1
HIV Diagnoses Rate (Per 100,000 people)	All	2014	2.5
HIV Diagnoses Rate (Per 100,000 people)	All	2014	15.9
HIV Diagnoses Rate (Per 100,000 people)	All	2014	9.1
HIV Diagnoses Rate (Per 100,000 people)	All	2013	15.9
HIV Diagnoses Rate (Per 100,000 people)	All	2013	3.8
HIV Diagnoses Rate (Per 100,000 people)	All	2013	9.7
HIV Diagnoses Rate (Per 100,000 people)	All	2012	16.7
HIV Diagnoses Rate (Per 100,000 people)	All	2012	4.4
HIV Diagnoses Rate (Per 100,000 people)	All	2012	10.4
HIV Diagnoses Rate (Per 100,000 people)	Black	2014	33.1
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	36.6
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	39.6
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2014	7.2
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	5
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	7.2
HIV Diagnoses Rate (Per 100,000 people)	White	2014	4.2
HIV Diagnoses Rate (Per 100,000 people)	White	2013	5.4
HIV Diagnoses Rate (Per 100,000 people)	White	2012	5.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	3.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.3
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	2.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	4.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	2.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	2.4
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	6.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	2.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	5.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2010	8.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2010	2.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2010	5.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2012	9.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2011	13.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2010	16.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	4.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	3.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	6.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2011	4.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2010	2.7
Infant Mortality Rate (Per 1,000 live births)	All	2012	6.9
Infant Mortality Rate (Per 1,000 live births)	All	2011	7.7
Infant Mortality Rate (Per 1,000 live births)	All	2010	7.5
Infant Mortality Rate (Per 1,000 live births)	Black	2012	11.8
Infant Mortality Rate (Per 1,000 live births)	Black	2011	14.3
Infant Mortality Rate (Per 1,000 live births)	Black	2010	16.6
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2012	6.4
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	7.9
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2010	5.9
Infant Mortality Rate (Per 1,000 live births)	Other	2012	4.1
Infant Mortality Rate (Per 1,000 live births)	Other	2011	4.3
Infant Mortality Rate (Per 1,000 live births)	Other	2010	3.9
Infant Mortality Rate (Per 1,000 live births)	White	2012	5.9
Infant Mortality Rate (Per 1,000 live births)	White	2011	5.4
Infant Mortality Rate (Per 1,000 live births)	White	2010	6
Percent of Low Birth Weight Babies Born	Hispanic	2010	6.9
Life Expectancy at Birth (Years)	All	2013	75.3
Life Expectancy at Birth (Years)	All	2013	78.4
Life Expectancy at Birth (Years)	All	2013	76.9
Life Expectancy at Birth (Years)	Black	2013	74.3
Life Expectancy at Birth (Years)	White	2013	76.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	59.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	37.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	46.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	62.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	36.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	47.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	57.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	39.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	46.7
Percent of Low Birth Weight Babies Born	Other	2012	8.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	56
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	48.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	47.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	19.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	24.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	23.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	36
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	50.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	51.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	51.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	14.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	5.9
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.9
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	17.8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	10.9
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	15.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	3.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	9.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	13.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	7.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	13.2
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	9.9
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	10.2
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	10.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	9.2
Percent of Low Birth Weight Babies Born	All	2012	8.3
Percent of Low Birth Weight Babies Born	All	2011	8.2
Percent of Low Birth Weight Babies Born	All	2010	8.4
Percent of Low Birth Weight Babies Born	Black	2012	14.2
Percent of Low Birth Weight Babies Born	Black	2011	13.5
Percent of Low Birth Weight Babies Born	Black	2010	14.7
Percent of Low Birth Weight Babies Born	Hispanic	2012	6.8
Percent of Low Birth Weight Babies Born	Other	2011	9.9
Percent of Low Birth Weight Babies Born	Other	2010	9.1
Percent of Low Birth Weight Babies Born	White	2012	7.4
Percent of Low Birth Weight Babies Born	White	2011	7.2
Percent of Low Birth Weight Babies Born	White	2010	7.4
Percent of Mothers Under Age 20	All	2012	9.1
Percent of Mothers Under Age 20	All	2011	10.1
Percent of Mothers Under Age 20	All	2010	10.9
Percent of Mothers Under Age 20	Black	2012	12
Percent of Mothers Under Age 20	Black	2011	13.8
Percent of Mothers Under Age 20	Black	2010	15
Percent of Mothers Under Age 20	Hispanic	2012	13.1
Percent of Mothers Under Age 20	Hispanic	2011	14.2
Percent of Mothers Under Age 20	Hispanic	2010	15.5
Percent of Mothers Under Age 20	Other	2012	3.7
Percent of Mothers Under Age 20	Other	2011	2.9
Percent of Mothers Under Age 20	Other	2010	3.2
Percent of Mothers Under Age 20	White	2012	5.4
