Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	24.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	8.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	16.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	28.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	9.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	19.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	26.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	9.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	18.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	51.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	52
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	49.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	11.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	15.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	14.4
AIDS Diagnoses Rate (Per 100,000 people)	Other	2013	6.6
AIDS Diagnoses Rate (Per 100,000 people)	Other	2012	8.2
AIDS Diagnoses Rate (Per 100,000 people)	Other	2011	10.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	6.1
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	8.1
Tuberculosis Incidence Rate (Per 100,000 people)	All	2013	11.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	7.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	160
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	188.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	140.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	160.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	186.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	141.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	203.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	134.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	162.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	215.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	217.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	214.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	107.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	117.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	113.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	123.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	109.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	108.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	169.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	164.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	167.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	872.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	642.2
Tuberculosis Incidence Rate (Per 100,000 people)	All	2013	6.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	744.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	824
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	624.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	715.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	977.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	935.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	532.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	514.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	468.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	461.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	792.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	748.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	22.8
Tuberculosis Incidence Rate (Per 100,000 people)	All	2013	8.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	16.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	19.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	24
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	20.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	21.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	21.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	17.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	34.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	38.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	35
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	25.8
Percent of High School Students Who Currently Smoke	Hispanic	2013	12.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	26.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	22
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	14.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	15.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	12.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	13.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	16
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	14
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	61
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	95
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	156
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	51
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	113
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	164
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2012	26
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	31
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2012	15
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	18
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2011	2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2012	103
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	112
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	24.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	23.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	22.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	10.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	7.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	23
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	18.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	23.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	7.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	8.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	8.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	10.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	7.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	13.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	13.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	10.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	217
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	136.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	171.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	198
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	128.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	174.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	139.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	219.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	159.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	229.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	229.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	223.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	117.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	131.8
Percent of High School Students Who Currently Smoke	White	2011	16.4
