Indicator	Race	Year	Value
Infant Mortality Rate (Per 1,000 live births)	Black	2012	9.9
Infant Mortality Rate (Per 1,000 live births)	Black	2013	8.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	15
Infant Mortality Rate (Per 1,000 live births)	Black	2011	9.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	22.9
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2013	4.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	3.8
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2012	9.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	13
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	30
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	5.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	17.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	26.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3.8
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	8.9
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	26.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	32.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	25.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	30.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	15.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	13.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	2.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	10.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	9.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	8.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	207.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	151.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	177.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	231.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	187
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	234.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	164.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	193
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	155.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	165.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	180.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	92.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	228.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	232.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	225.8
