Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	15.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	3.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	9.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	19.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	16.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	3.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	10
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	11.4
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	8.9
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	7.1
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	32.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	25
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	28.9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	10.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	8.3
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	10
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2013	6
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	5.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	6.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	6.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	744.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	193.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	139.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	162.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	188.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	139.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	160.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	198.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	144.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	166.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	195.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	203.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	210.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	147.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	142.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	115.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	152.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	144
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	160.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	162.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	160.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	170
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	893.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	625.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	890
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	618
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	742.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	747.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	617.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	598.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	989.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	1025.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	641.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	659.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	755.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	13.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	9.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	11.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	17.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	13.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	14
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	11.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	12.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	17.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	33.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	27.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	17.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	14.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	16.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	10.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	15.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	7.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	11
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	11.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	11.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	2440
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	1508
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	978
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	2486
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	1379
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	969
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	2348
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	1475
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	965
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2013	42
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2012	50
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2011	39
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2013	269
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2012	235
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	210
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2013	267
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2012	314
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	287
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2013	53
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2012	10
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2011	15
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2013	1680
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2012	1648
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	1818
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	22.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	20.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	23.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	30.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	27.5
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	42.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	12.7
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	20.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	12.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	18.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	18.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	30.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	23.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	20.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	21.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	20.1
HIV Diagnoses Rate (Per 100,000 people)	All	2014	19.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	12
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	21
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	12.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	11.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	18.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	21.1
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	19.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	5.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	7.4
HIV Diagnoses Rate (Per 100,000 people)	All	2013	34.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	9.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	5.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	14
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	14.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	12.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	254.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	138.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	190.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	249.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	130.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	183.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	243.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	136.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	185
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	299.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	292.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	275.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	170.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	157.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	140.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	156.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	138
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	139.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	187.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	183.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	188.8
HIV Diagnoses Rate (Per 100,000 people)	All	2014	33.1
HIV Diagnoses Rate (Per 100,000 people)	All	2014	5.2
HIV Diagnoses Rate (Per 100,000 people)	All	2013	5.4
HIV Diagnoses Rate (Per 100,000 people)	All	2013	20
HIV Diagnoses Rate (Per 100,000 people)	All	2012	29.6
HIV Diagnoses Rate (Per 100,000 people)	All	2012	3.9
HIV Diagnoses Rate (Per 100,000 people)	All	2012	16.9
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	13.6
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	10.1
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	13
HIV Diagnoses Rate (Per 100,000 people)	Black	2014	48.9
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	47
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	35.7
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2014	21.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	21.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	18.5
HIV Diagnoses Rate (Per 100,000 people)	Multiracial	2014	10.1
HIV Diagnoses Rate (Per 100,000 people)	Multiracial	2013	12.1
HIV Diagnoses Rate (Per 100,000 people)	Multiracial	2012	8
HIV Diagnoses Rate (Per 100,000 people)	Native American	2014	395.2
HIV Diagnoses Rate (Per 100,000 people)	Native American	2012	374.4
HIV Diagnoses Rate (Per 100,000 people)	White	2014	10
HIV Diagnoses Rate (Per 100,000 people)	White	2013	12.2
HIV Diagnoses Rate (Per 100,000 people)	White	2012	10
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	2.3
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	2.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	2.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	0.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	3.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	0.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	3.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2014	5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	10.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	9.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2014	1.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	2.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	2.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2014	2.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	2.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	2.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	6.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	2.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	4.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	6.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.8
Percent of Adults Who Currently Smoke	All	2013	20.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	7
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2013	17.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2012	15.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2011	18.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	3.4
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	4.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	3.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	Other	2013	2.4
Homicide Rate (Age-Adjusted; Per 100,000 people)	Other	2012	4.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	Other	2011	1.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2013	3.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2012	3.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2011	3.2
Infant Mortality Rate (Per 1,000 live births)	All	2013	4.8
Infant Mortality Rate (Per 1,000 live births)	All	2012	5.2
Infant Mortality Rate (Per 1,000 live births)	All	2011	5.3
Infant Mortality Rate (Per 1,000 live births)	Asian/PI	2012	5.3
Infant Mortality Rate (Per 1,000 live births)	Black	2013	12.2
Infant Mortality Rate (Per 1,000 live births)	Black	2012	8.2
Infant Mortality Rate (Per 1,000 live births)	Black	2011	7.1
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2013	2.6
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2012	4
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	6.1
Infant Mortality Rate (Per 1,000 live births)	White	2013	4.5
Infant Mortality Rate (Per 1,000 live births)	White	2012	4.7
Infant Mortality Rate (Per 1,000 live births)	White	2011	4.8
Life Expectancy at Birth (Years)	All	2012	76.9
Life Expectancy at Birth (Years)	All	2012	81.2
Life Expectancy at Birth (Years)	All	2012	79
Life Expectancy at Birth (Years)	Asian/PI	2012	86.8
Life Expectancy at Birth (Years)	Black	2012	76.1
Life Expectancy at Birth (Years)	Hispanic	2012	85.9
Life Expectancy at Birth (Years)	White	2012	77.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	54.8
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	37.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	44.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	55
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	41.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	47.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	59.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	41.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	49.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	48.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	62.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	59.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	26.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	31.9
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	33
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	37.9
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	30.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	38.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	47.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	49.5
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	52
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	12.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	3.8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	12
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	8.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	11.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	7.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	10.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	13
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	9.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	6.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	7.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	8.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	10.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	6.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	8.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	8.2
