Indicator	Race	Year	Value
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	American Indian/Alaska Native	2011	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	American Indian/Alaska Native	2012	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	American Indian/Alaska Native	2013	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	American Indian/Alaska Native	2014	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2011	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Asian/PI	2011	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Black	2011	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Other	2011	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Other	2012	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Other	2013	0
Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)	Other	2014	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	All	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Asian/PI	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Asian/PI	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Asian/PI	2013	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Asian/PI	2014	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Black	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Black	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Black	2013	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Black	2014	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Hispanic	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Hispanic	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Hispanic	2014	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Other	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Other	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Other	2013	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	Other	2014	0
Tuberculosis Incidence Rate (Per 100,000 people)	White	2013	1.5
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	White	2011	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	White	2012	0
Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)	White	2014	0
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	0
AIDS Diagnoses Rate (Per 100,000 people)	Other	2011	0
AIDS Diagnoses Rate (Per 100,000 people)	Other	2013	0
AIDS Diagnoses Rate (Per 100,000 people)	Other	2014	0
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	0
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	0
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	0
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	0
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2014	0
