Indicator	Race	Year	Value
Life Expectancy at Birth (Years)	All	2011	84
Life Expectancy at Birth (Years)	Asian/PI	2011	85.8
Life Expectancy at Birth (Years)	Black	2011	75.7
Life Expectancy at Birth (Years)	Hispanic	2011	83.4
Life Expectancy at Birth (Years)	White	2011	81.1
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	4.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	25
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	14
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	30
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	16
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	26
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	3
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	14
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	5
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2010	4.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	5
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	33
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	42
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	37
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	13
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	16
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	13
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	10
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	13
Infant Mortality Rate (Per 1,000 live births)	Multiracial	2012	8.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	13
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	72.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	97.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	83.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	98.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	77
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	85.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	104
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	77.4
Infant Mortality Rate (Per 1,000 live births)	Multiracial	2011	12.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	88.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	75.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	78.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	79.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	206.4
