Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	18.4
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2013	2.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	29.4
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2010	3.1
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	3.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	23.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	39.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	26.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	36
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	10.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	19.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	39.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	14.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	12.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	28.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	15.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	26.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	37.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	56.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	75.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	63.3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	84.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2010	79.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	12.9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	17.9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	16.3
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	17.6
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2010	16
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	12.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	11
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	10.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	11.6
AIDS Diagnoses Rate (Per 100,000 people)	White	2010	10.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	116.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	166.1
