Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	14
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	9.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	9.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	24.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	15.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	15.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	28.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	7.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	18
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	14.3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	25.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	37.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	20
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	8.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	13.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	13
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	231.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	136.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	177.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	219.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	149.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	178.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	202.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	142.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	168.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2014	250.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	189.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	246.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2014	40.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	132
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	72.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	140.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	145.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2014	240.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2014	165.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	181.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	157.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	978.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	671.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	809.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	907.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	641.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	756.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	955.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	918.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	432.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	523.4
Infant Mortality Rate (Per 1,000 live births)	Asian/PI	2010	2.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	916.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	704.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	727.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	773.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	30.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	10.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2014	19.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	31.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	26.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	28.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	37.7
