Indicator	Race	Year	Value
Percent of Mothers Under Age 20	Black	2011	7.8
Percent of Mothers Under Age 20	Black	2012	7.2
Percent of Mothers Under Age 20	Black	2013	6.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	27.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	14.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	42.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	24.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	12.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	37.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	21.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	9.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	33.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	4.4
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	4.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	4.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	63.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	56
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	47.9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	31
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	26
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	23.5
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2011	4
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2012	0.8
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2013	9.8
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2011	0
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2012	25.6
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2013	15.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	10.7
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	10.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	8.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	158.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	138.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	189.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	155.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	135.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	184.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	151.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	131.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	181.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	105.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	108.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	102.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	184.4
