Indicator	Race	Year	Value
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2013	1381.4
Persons Living with HIV/AIDS Rate (Per 100,000 people)	All	2013	301.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	2.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	15.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	8.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	22.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	1.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	11.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	16.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	2
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	9.2
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	4.5
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	15.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	22.5
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	21.6
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	8.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	11.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	5
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2012	14.2
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2011	7.1
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2011	82.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	4.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	4.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	3.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	187.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	138.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	158.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	130.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	212.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	121
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2011	109.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	109.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	221.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	140.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	735
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	513.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	611.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	703.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	526.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	605.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	445.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	422.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	938.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	930.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	518.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	531.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	335.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	284.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	644.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	825.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	744.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	987.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	643.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	641.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	27
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	23.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	32
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	22.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	43.3
HIV Diagnoses Rate (Per 100,000 people)	All	2011	19.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	26.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	14.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	545.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	435
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2011	80.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	183.2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	399.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	21
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	14.5
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	26.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	17.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	21.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	35.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.4
HIV Diagnoses Rate (Per 100,000 people)	All	2013	35.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	19.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	6.1
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	50.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	8.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	9.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	140.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	112.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	179.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	74.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	215.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	106.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2011	54.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	130.6
HIV Diagnoses Rate (Per 100,000 people)	All	2012	6
HIV Diagnoses Rate (Per 100,000 people)	All	2013	6.5
HIV Diagnoses Rate (Per 100,000 people)	All	2013	20.5
HIV Diagnoses Rate (Per 100,000 people)	All	2012	34.3
HIV Diagnoses Rate (Per 100,000 people)	All	2012	19.7
HIV Diagnoses Rate (Per 100,000 people)	All	2011	30.6
HIV Diagnoses Rate (Per 100,000 people)	All	2011	9.4
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	3
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	3
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	6
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	41.3
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	45
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	42.2
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	14.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	15.1
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2011	16.2
HIV Diagnoses Rate (Per 100,000 people)	Multiracial	2013	7.1
HIV Diagnoses Rate (Per 100,000 people)	Multiracial	2012	14.2
HIV Diagnoses Rate (Per 100,000 people)	White	2013	14.8
HIV Diagnoses Rate (Per 100,000 people)	White	2012	10.9
HIV Diagnoses Rate (Per 100,000 people)	White	2011	14.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	10.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	5.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	7.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	3.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	11.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	31.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	5.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	18.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	4.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2011	51.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	8.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2011	4.4
Infant Mortality Rate (Per 1,000 live births)	All	2011	4.2
Infant Mortality Rate (Per 1,000 live births)	Asian/PI	2011	3
Infant Mortality Rate (Per 1,000 live births)	Black	2011	10.4
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	4.1
Infant Mortality Rate (Per 1,000 live births)	White	2011	3.1
Life Expectancy at Birth (Years)	All	2013	79.2
Life Expectancy at Birth (Years)	All	2013	84.1
Life Expectancy at Birth (Years)	All	2013	81.7
Life Expectancy at Birth (Years)	Black	2013	74.5
Life Expectancy at Birth (Years)	Hispanic	2013	83.9
Life Expectancy at Birth (Years)	White	2013	81.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	46.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	29.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	36.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	32.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	54.3
