Indicator	Race	Year	Value
Infant Mortality Rate (Per 1,000 live births)	White	2011	5.4
Infant Mortality Rate (Per 1,000 live births)	White	2010	5.5
Percent of Low Birth Weight Babies Born	Black	2011	14.1
Percent of Low Birth Weight Babies Born	Black	2010	13.8
Percent of Low Birth Weight Babies Born	Hispanic	2012	9.5
Percent of Low Birth Weight Babies Born	Hispanic	2011	9.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	14.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	34.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	13
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	23.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	41.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	16.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	28.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	40.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	27
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	7.3
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	7.3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	38.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	45.5
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	43.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	25.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	34.6
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	28.8
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2013	18.6
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2011	18.6
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	6.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	8.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	9.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	174.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	259
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	206.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	263.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	185.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	214.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	250.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	160.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	196.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	101.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	120.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	120.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	235.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	246.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	242.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	160.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	136.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	104.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	189.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	209
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	175.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1107.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	713.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	879.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1134.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	748.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	911.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	358.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	418.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	982.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	1045.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	685
