Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	14.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	1.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	8
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	15.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	9.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	13.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	1.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	7.8
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	4.3
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	2.2
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	8.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	21.3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	21.3
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	25.5
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	7.3
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	9
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	5.9
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2014	103.8
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2013	173
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2012	103.8
AIDS Diagnoses Rate (Per 100,000 people)	Other	2014	2.5
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	7
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	8.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	107.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	108
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	108.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	107.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	109.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	109.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	97
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	101.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	100
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	93.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	101.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	98
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	69.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	60.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	59.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	507.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	59.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	107.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	111.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	96.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	91.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	39.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	36.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	33.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	0
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	27.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	24.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2011	12.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2010	0
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	20.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	39.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2011	13.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2010	22.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	0.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	1.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	0.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	1.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	156.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	158.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	148.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	178.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	526.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	508.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	519.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	506.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	503.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	243.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	223.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	559.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	566.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	206.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	195.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	143.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	109.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	237.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	274
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	728.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	712.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	21.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	19.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	20.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	10.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	20.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	20.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	20.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	15.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	16.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	16.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	9.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	15.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	19.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	11.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	33.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	44.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	28.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	29.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	11.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	12.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	11.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	0
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	8.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	0
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2011	3.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2010	0
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	23.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	15.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2011	25.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2010	18.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	1.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	0.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	0.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	0.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	22.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	21.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	23.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	27
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	120.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	131.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2013	125.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	127.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	144.9
Percent of Adults Who Currently Smoke	White	2014	13.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	136
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	124.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	142
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	133.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2013	27
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2012	40.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2011	33.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2013	161.9
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2012	151.2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	179
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2013	65.9
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2012	60.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	60.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2013	0
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2012	0
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Multiracial	2011	0
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2013	120.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2012	141.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Native American	2011	124.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2013	9.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2012	9.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2011	8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2013	176
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2012	202.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	194.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	16.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	15.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	13.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	16
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	6.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	19.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	2.9
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	0
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	18.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	11
Percent of Adults Who Currently Smoke	White	2013	16.8
