Indicator	Race	Year	Value
Race/Ethnicity	Multiracial	2013	4.3
Race/Ethnicity	Multiracial	2012	4.1
Race/Ethnicity	Other	2014	0.6
Race/Ethnicity	Other	2013	0.6
Race/Ethnicity	Other	2012	0.6
Race/Ethnicity	White	2014	71.6
Race/Ethnicity	White	2013	72
Race/Ethnicity	White	2012	72.2
Percent of Low Birth Weight Babies Born	Black	2014	10.2
Percent of Low Birth Weight Babies Born	Black	2013	11
Percent of Low Birth Weight Babies Born	Black	2012	10.2
Percent of Low Birth Weight Babies Born	Black	2011	11.3
Percent of Low Birth Weight Babies Born	Hispanic	2014	6.1
Race/Ethnicity	Asian/PI	2014	6.8
Race/Ethnicity	Asian/PI	2013	6.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	13
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	2.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	7.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	14.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	1.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	7.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	13.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	1.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	7.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	18.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	1.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	9.5
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	5
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	1.7
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	1.9
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	3.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2014	1.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	14.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	9.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	19.8
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	9.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	18.8
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	14.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	8.6
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2014	6.9
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2013	3.6
