Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	11.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	18
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	4.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	25.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	6.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	21
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	2.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	28.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	23.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	41.5
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	8.6
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	12.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	12.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	20.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	257.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	257.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	284.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	267.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	267.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	302.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	269.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	269.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	289.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	188.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	223.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	185.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	183.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	492
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	467
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	92.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	108.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	96.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	188.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	364.2
Percent of Low Birth Weight Babies Born	All	2010	7.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2011	176
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	483.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	492
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	467
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	28
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	48.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	25.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	27
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	40.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	26.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	38.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	43.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	25
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	24.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	20.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	27.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	92.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	67.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	54.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	10.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	10.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	15
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	49.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	56.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	55.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	32
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	4.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	17.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	34
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	17.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	30.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	3.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	16
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	6.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	11.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	8.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	38.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	25.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	25.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	13.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	9.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	13.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	32.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	20.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	20.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	306.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	247.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	302.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	262.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	281.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	277.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	243.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	282.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	290.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	167.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	171.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	151.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	275
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	283.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	278
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	82.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	88.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	83.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	202.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2011	246.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	506.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	505.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	516.1
HIV Diagnoses Rate (Per 100,000 people)	All	2013	6.2
HIV Diagnoses Rate (Per 100,000 people)	All	2013	33.7
HIV Diagnoses Rate (Per 100,000 people)	All	2013	19.5
HIV Diagnoses Rate (Per 100,000 people)	All	2012	40.2
HIV Diagnoses Rate (Per 100,000 people)	All	2012	5.8
HIV Diagnoses Rate (Per 100,000 people)	All	2012	22.5
HIV Diagnoses Rate (Per 100,000 people)	All	2011	31.6
HIV Diagnoses Rate (Per 100,000 people)	All	2011	5.4
HIV Diagnoses Rate (Per 100,000 people)	All	2011	18.1
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	8.7
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	6.6
HIV Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	8.5
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	36.7
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	44.7
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	36.8
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	20.3
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	19.5
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2011	16.6
HIV Diagnoses Rate (Per 100,000 people)	White	2013	18.9
HIV Diagnoses Rate (Per 100,000 people)	White	2012	25.7
HIV Diagnoses Rate (Per 100,000 people)	White	2011	19.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	8.3
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	2.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	7.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	8.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	14.4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	14.4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	11.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	4.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	7.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	6.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	4.9
Infant Mortality Rate (Per 1,000 live births)	All	2011	5.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	20.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	3.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	11.4
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	23.4
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	13.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	24
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.2
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	13.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	7.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	12.8
Infant Mortality Rate (Per 1,000 live births)	Asian/PI	2013	4.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	7.5
