Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	11
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	9.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	16.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	16.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	2.6
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	2.2
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	9.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	4.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	18.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	17.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	17.8
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	20.2
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	9.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	9.1
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	12.4
AIDS Diagnoses Rate (Per 100,000 people)	Other	2012	18.4
AIDS Diagnoses Rate (Per 100,000 people)	Other	2011	18.4
AIDS Diagnoses Rate (Per 100,000 people)	Other	2013	11.7
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	6.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	5.8
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	5.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	169.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	115
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	133.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	167.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	115.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	137.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	220.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	117.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	138.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	172.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	171
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	164
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	126.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	126.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	135.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	86.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	89
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	47.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	145.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	146.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	151.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	789.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	559.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	789.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	853
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	601.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	714.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	805.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	802.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	657.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	714.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	649
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	710.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	24.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	21.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	21.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	23.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	21.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	34.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	24.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	25.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	36.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	27
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	47.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	31
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	32.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	21.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	19.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	24
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	6.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	12.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	12.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	43.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	43.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2010	42.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	40.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2010	33.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	34.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2010	30
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2011	24.9
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Other	2010	32.2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2011	62.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	White	2010	66.9
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	17.5
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	19.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	17.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	33.6
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	29
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	36
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	16.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	17.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	16.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	10
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	8.9
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	8.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	17.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	19.3
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	16
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	15.9
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	9.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	14.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	2.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	15
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	2.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	7.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	9.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	9.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	5.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	6.4
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	6.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	6.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	4.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	12
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	13.5
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	9.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	204.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	126.6
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	123.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	211.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	143.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	113.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	182.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	139.2
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	143.7
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	152.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	196.4
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	174
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	143.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	145.5
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	155.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	85.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	84.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	37.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	150.1
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	144.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	161.6
HIV Diagnoses Rate (Per 100,000 people)	All	2013	40.7
HIV Diagnoses Rate (Per 100,000 people)	All	2013	4.3
HIV Diagnoses Rate (Per 100,000 people)	All	2013	22.2
HIV Diagnoses Rate (Per 100,000 people)	All	2012	35.8
HIV Diagnoses Rate (Per 100,000 people)	All	2012	4.6
HIV Diagnoses Rate (Per 100,000 people)	All	2012	19.9
HIV Diagnoses Rate (Per 100,000 people)	All	2011	34
HIV Diagnoses Rate (Per 100,000 people)	All	2011	5.5
HIV Diagnoses Rate (Per 100,000 people)	All	2011	19.5
HIV Diagnoses Rate (Per 100,000 people)	Black	2013	43.4
HIV Diagnoses Rate (Per 100,000 people)	Black	2012	37.2
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	36.5
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2013	23.8
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2012	21.2
HIV Diagnoses Rate (Per 100,000 people)	Hispanic	2011	21.1
HIV Diagnoses Rate (Per 100,000 people)	Other	2013	23.4
HIV Diagnoses Rate (Per 100,000 people)	Other	2012	26.8
HIV Diagnoses Rate (Per 100,000 people)	Other	2011	30.1
HIV Diagnoses Rate (Per 100,000 people)	White	2013	13.5
HIV Diagnoses Rate (Per 100,000 people)	White	2012	12.3
HIV Diagnoses Rate (Per 100,000 people)	White	2011	11
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.6
Tuberculosis Incidence Rate (Per 100,000 people)	Hispanic	2012	4.5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	1.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	2.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	5.2
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	3
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1.4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	2.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	8.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	5
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	8.7
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	2.6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	3.7
Infant Mortality Rate (Per 1,000 live births)	All	2013	6
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	2.9
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	1.1
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	1.4
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	1.8
HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	1.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	1.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2013	5.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	1.8
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2012	5.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	8.6
Life Expectancy at Birth (Years)	White	2013	79.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	2.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	All	2011	4.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2013	11.1
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2012	9.9
Homicide Rate (Age-Adjusted; Per 100,000 people)	Black	2011	14.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	5.7
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	6.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	5
Homicide Rate (Age-Adjusted; Per 100,000 people)	Other	2013	2.3
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2013	3.6
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2012	3.5
Homicide Rate (Age-Adjusted; Per 100,000 people)	White	2011	2.5
Infant Mortality Rate (Per 1,000 live births)	All	2012	6.4
Infant Mortality Rate (Per 1,000 live births)	All	2011	4.9
Infant Mortality Rate (Per 1,000 live births)	Black	2013	8.6
Infant Mortality Rate (Per 1,000 live births)	Black	2012	6.2
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2013	6.5
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2012	7.2
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2011	4.8
Infant Mortality Rate (Per 1,000 live births)	Other	2013	5.1
Infant Mortality Rate (Per 1,000 live births)	Other	2012	1.9
Infant Mortality Rate (Per 1,000 live births)	Other	2011	4.2
Infant Mortality Rate (Per 1,000 live births)	White	2013	4.2
Infant Mortality Rate (Per 1,000 live births)	White	2012	5
Infant Mortality Rate (Per 1,000 live births)	White	2011	4.7
Life Expectancy at Birth (Years)	All	2013	79.4
Life Expectancy at Birth (Years)	All	2013	76.8
Life Expectancy at Birth (Years)	All	2013	81.7
Life Expectancy at Birth (Years)	Black	2013	75.9
Life Expectancy at Birth (Years)	Hispanic	2013	79.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	37.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	23.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	28.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	38.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	29
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	53.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	24.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	31.6
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	44.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	48.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	47.9
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	21.3
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	18.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	21.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	19.4
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	30.7
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	6.2
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	35.8
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	37.1
Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	43.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	5.1
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	White	2013	89.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	12.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	7.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	11.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	4.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	7.8
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	10.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	3.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	6.4
Percent of Adults Who Are Obese	All	2013	34.7
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	11.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	7.2
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	5.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	9.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	9.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	7.1
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2013	4.3
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	3.7
Percent of High School Students Who Currently Smoke	All	2013	12.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	3.6
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	7.4
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	5.5
Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	5.5
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2013	11.3
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2013	5.1
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2013	8.8
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2012	13.3
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2012	4.7
Percent of High School Students Who Currently Smoke	Hispanic	2013	12.1
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2012	8.9
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2011	2.4
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2011	0.7
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	All	2011	1.3
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Black	2013	10.6
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Black	2012	10
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Black	2011	0.6
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Hispanic	2013	8.3
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Hispanic	2012	8.7
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Hispanic	2011	1.6
Percent of High School Students Who Currently Smoke	White	2013	13.1
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Other	2013	3.4
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	Other	2012	1.3
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	White	2013	7.7
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	White	2012	10.1
Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions	White	2011	1.2
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2013	82.4
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2013	69.8
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	All	2013	74.5
Percent of Adults Over Age 65 Who Received Pneumonia Vaccine	Hispanic	2013	58.4
Percent of Adults Who Are Obese	All	2013	36.1
Percent of Adults Who Are Obese	All	2013	33.3
Percent of Adults Who Are Obese	Hispanic	2013	41
Percent of Adults Who Are Obese	White	2013	24.2
Percent of Adults Who Binge Drank	All	2013	12.1
Percent of Adults Who Binge Drank	All	2013	21.5
Percent of Adults Who Binge Drank	All	2013	32.1
Percent of Adults Who Binge Drank	Black	2011	26.6
Percent of Adults Who Binge Drank	Black	2010	24.3
Percent of Adults Who Binge Drank	Hispanic	2013	27.2
Percent of Adults Who Binge Drank	Hispanic	2011	28.2
Percent of Adults Who Binge Drank	Hispanic	2010	25.9
Percent of Adults Who Binge Drank	Other	2011	33.4
Percent of Adults Who Binge Drank	Other	2010	41.4
Percent of Adults Who Binge Drank	White	2013	14.9
Percent of Adults Who Binge Drank	White	2011	83.8
Percent of Adults Who Binge Drank	White	2010	87.5
Percent of Adults Who Currently Smoke	All	2013	17.8
Percent of Adults Who Currently Smoke	All	2013	10.1
Percent of Adults Who Currently Smoke	All	2013	13.8
Percent of Adults Who Currently Smoke	Hispanic	2013	13.2
Percent of Adults Who Currently Smoke	White	2013	15.1
Percent of High School Students Who Are Obese	All	2013	14.4
Percent of High School Students Who Are Obese	All	2013	9.6
Percent of High School Students Who Are Obese	All	2013	19
Percent of High School Students Who Are Obese	Hispanic	2013	16
Percent of High School Students Who Are Obese	White	2013	6.9
Percent of High School Students Who Currently Smoke	All	2013	9.9
Percent of High School Students Who Currently Smoke	All	2013	11.3
Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels	All	2013	26.9
