Indicator	Race	Year	Value
Life Expectancy at Birth (Years)	Black	2012	77
Life Expectancy at Birth (Years)	Black	2011	76.9
Life Expectancy at Birth (Years)	Black	2013	76.2
Life Expectancy at Birth (Years)	Hispanic	2012	85
Life Expectancy at Birth (Years)	Hispanic	2011	84.8
Life Expectancy at Birth (Years)	Hispanic	2013	86.1
Life Expectancy at Birth (Years)	White	2012	81
Life Expectancy at Birth (Years)	White	2011	81.1
Life Expectancy at Birth (Years)	White	2013	81.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	7.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	7.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	9.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	16.1
AIDS Diagnoses Rate (Per 100,000 people)	Black	2010	26.3
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	7.8
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2010	12.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	6.2
AIDS Diagnoses Rate (Per 100,000 people)	White	2010	7.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	186.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	137.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	158.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	186.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	132.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	155.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	193.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	138.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	161.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	120.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	116.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	120.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	225.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	194.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	204.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	123.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	132.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	130.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2012	157.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2011	145.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Other	2010	120.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	169.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	163.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	172.4
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	758.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	530.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	632.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	744.1
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	529.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	626.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	421.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	408.8
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	803.3
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	782.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	507.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	513.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2013	446.7
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Multiracial	2012	438.6
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2013	726.9
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	Native American	2012	809.5
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	693.2
All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	678.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	25.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	16.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	20.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	21.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	15.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	18.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	24.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	14.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	19.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	19.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	24.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	18.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	38.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	43.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	57.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	32.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	28.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	30.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	16.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	14.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	14.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	39.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	31.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2012	34.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	32.4
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	24.3
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2011	27.1
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2010	31.2
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2010	24.4
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	All	2010	26.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2012	6.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2011	3.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Asian/PI	2010	6.7
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2012	48.8
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2011	42
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Black	2010	37.5
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2012	17.6
Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.	Hispanic	2011	11.6
