Indicator	Race	Year	Value
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	9.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	1.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2014	5.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	9.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	5.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	10.1
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	1.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	6
Percent of Low Birth Weight Babies Born	Multiracial	2012	6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	2.3
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2014	1.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	2.6
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	18.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	32.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2014	8.6
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	6.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	8.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2014	6.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	7
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	5.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	151.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	189.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	124.4
Percent of Low Birth Weight Babies Born	Multiracial	2011	8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	181.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	128.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	150.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	190.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	132.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	157.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	136.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	122.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	128.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	165.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	213.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	232.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	147.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	131.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	145.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	166.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	177.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	183.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	35.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	26.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	30.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	36.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	25.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	30.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	37.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	22.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	29.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	27.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	32.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	20.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2013	43.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	71.3
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	80.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2013	53.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	40.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	47.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2013	23.8
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	24.9
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	26.3
Percent of Low Birth Weight Babies Born	Multiracial	2013	8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	119.8
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	166.3
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	97.9
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	128
Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	168.5
