Indicator	Race	Year	Value
Percent of Adults Who Are Obese	Hispanic	2011	17
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	32.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	3.4
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	19.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2013	9.8
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	33.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	5.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	37
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	5.7
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	21.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2013	18.3
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2012	8.6
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2011	10.2
AIDS Diagnoses Rate (Per 100,000 people)	Black	2013	38.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	75.9
AIDS Diagnoses Rate (Per 100,000 people)	Black	2011	45.7
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2013	36.6
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	26.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2011	33.2
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2013	27.4
AIDS Diagnoses Rate (Per 100,000 people)	Multiracial	2012	33.3
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	14
AIDS Diagnoses Rate (Per 100,000 people)	White	2013	14.9
AIDS Diagnoses Rate (Per 100,000 people)	White	2011	20.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	165.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	131
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2013	143.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	186.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	132
Percent of Adults Who Are Obese	All	2011	26
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	152.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	200.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	136.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	163.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2013	113.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	123.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	153.4
