Indicator	Race	Year	Value
Percent of Mothers Under Age 20	Hispanic	2012	11.5
Percent of Mothers Under Age 20	Hispanic	2010	13.1
Infant Mortality Rate (Per 1,000 live births)	Hispanic	2010	5.3
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	9.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2011	9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	8.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2012	8.9
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	5.5
AIDS Diagnoses Rate (Per 100,000 people)	All	2010	17.1
AIDS Diagnoses Rate (Per 100,000 people)	Asian/PI	2010	5.4
AIDS Diagnoses Rate (Per 100,000 people)	Black	2010	36.7
AIDS Diagnoses Rate (Per 100,000 people)	Black	2012	36.4
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2010	11.5
AIDS Diagnoses Rate (Per 100,000 people)	Hispanic	2012	10.2
AIDS Diagnoses Rate (Per 100,000 people)	Native American	2010	5.4
Infant Mortality Rate (Per 1,000 live births)	Native American	2011	8.2
AIDS Diagnoses Rate (Per 100,000 people)	Other	2010	19.4
AIDS Diagnoses Rate (Per 100,000 people)	White	2010	3.7
AIDS Diagnoses Rate (Per 100,000 people)	White	2012	3.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	172.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	200.3
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	142.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	166.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	204
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	144
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	169
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	209.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	146.7
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2012	104.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2011	105.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Asian/PI	2010	108.9
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	198.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	204
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	208.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	116.9
