Indicator	Race	Year	Value
Life Expectancy at Birth (Years)	All	2010	74.9
Life Expectancy at Birth (Years)	All	2010	79.8
Life Expectancy at Birth (Years)	All	2010	77.5
Life Expectancy at Birth (Years)	Black	2010	72.8
Life Expectancy at Birth (Years)	Hispanic	2010	88.4
Life Expectancy at Birth (Years)	White	2010	84.1
Percent of Low Birth Weight Babies Born	Asian/PI	2012	8.3
Percent of Low Birth Weight Babies Born	Black	2010	13.3
Percent of Low Birth Weight Babies Born	Black	2011	13.7
Percent of Low Birth Weight Babies Born	Black	2012	12.1
Percent of Low Birth Weight Babies Born	Hispanic	2010	6.7
Percent of Low Birth Weight Babies Born	Hispanic	2011	8.2
Percent of Low Birth Weight Babies Born	Hispanic	2012	8.5
Percent of Low Birth Weight Babies Born	White	2012	6.5
Percent of Low Birth Weight Babies Born	White	2010	6.5
Percent of Low Birth Weight Babies Born	White	2011	6.3
Percent of Mothers Under Age 20	All	2011	9.8
Percent of Mothers Under Age 20	All	2012	8.5
Percent of Adults Who Currently Smoke	All	2013	18.8
Percent of Mothers Under Age 20	All	2010	10.6
Percent of Mothers Under Age 20	Asian/PI	2010	0.9
Percent of Mothers Under Age 20	Asian/PI	2012	0.7
Percent of Mothers Under Age 20	Asian/PI	2011	1.2
Percent of Mothers Under Age 20	Black	2012	14.1
Percent of Adults Who Currently Smoke	All	2013	14.7
Percent of Adults Who Currently Smoke	All	2011	20.8
Percent of Mothers Under Age 20	Black	2010	16.7
Percent of Adults Who Currently Smoke	All	2013	23.4
Percent of Mothers Under Age 20	Black	2011	16.1
Percent of Mothers Under Age 20	Hispanic	2010	9.2
Percent of Adults Who Currently Smoke	All	2011	17.1
Percent of Adults Who Currently Smoke	All	2011	25.1
Percent of Mothers Under Age 20	Hispanic	2011	8.4
Percent of Mothers Under Age 20	Hispanic	2012	8
Percent of Mothers Under Age 20	White	2010	0.6
Percent of Mothers Under Age 20	White	2011	0.5
Percent of Mothers Under Age 20	White	2012	0.5
Percent of Adults Who Currently Smoke	All	2012	19.6
Percent of Adults Who Currently Smoke	Black	2012	29.1
Percent of Adults Who Currently Smoke	White	2012	10.7
Percent of Adults Who Currently Smoke	White	2013	9.9
Percent of Adults Who Currently Smoke	White	2011	9.6
Percent of Adults Who Currently Smoke	Black	2013	28.4
Percent of Adults Who Currently Smoke	Black	2011	30.8
HIV Diagnoses Rate (Per 100,000 people)	Other	2013	43
HIV Diagnoses Rate (Per 100,000 people)	Black	2011	181.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	181
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	213.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	163.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	215.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	158.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	179.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	211.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	156.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	176.1
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	230.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	217.5
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	211
HIV Diagnoses Rate (Per 100,000 people)	Other	2012	83.2
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	63.6
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	158.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	120.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	118.8
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	128.4
All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	136.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	23.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	26.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	22.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	24.2
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	32.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	25.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	26.4
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	23.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	24.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	36.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	38
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	36.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	4.5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	15.1
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	19.7
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	5
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	7.6
Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	7.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	30.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	26.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	29.4
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	30.9
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	35.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	35
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2011	12.5
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2012	8.1
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	Hispanic	2010	9.2
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2012	27.9
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2011	21.8
Female Breast Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)	White	2010	22.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	1.1
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	18.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2012	9.3
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	23.7
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	1.2
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2011	11.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	27.6
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	2.1
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	All	2010	14
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2012	19.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2011	25.8
Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)	Black	2010	26
